user0,9,10
user1,4,10
user2,7,10
user3,9,10
user4,9,10
user5,4,8
user6,8,9
user7,3,8
user8,9,10
user9,4,6
user10,4,5
user11,8,10
user12,9,10
user13,5,6
user14,1,9
user15,7,8
user16,4,6
user17,6,9
user18,3,6
user19,6,7
user20,2,10
user21,5,6
user22,6,7
user23,9,10
user24,8,10
user25,8,9
user26,2,8
user27,7,8
user28,5,10
user29,3,9
user30,9,10
user31,6,10
user32,3,10
user33,1,8
user34,8,10
user35,3,7
user36,5,8
user37,4,10
user38,6,9
user39,9,10
user40,5,10
user41,5,6
user42,9,10
user43,3,9
user44,7,9
user45,3,4
user46,4,5
user47,4,5
user48,7,9
user49,3,4
user50,1,8
user51,8,10
user52,8,10
user53,6,7
user54,7,10
user55,1,2
user56,1,3
user57,3,7
user58,3,4
user59,8,9
user60,5,9
user61,1,7
user62,2,4
user63,3,5
user64,2,4
user65,8,9
user66,3,8
user67,6,9
user68,6,10
user69,5,9
user70,3,5
user71,2,8
user72,1,3
user73,8,9
user74,9,10
user75,8,10
user76,5,6
user77,8,10
user78,6,9
user79,4,10
user80,4,6
user81,7,9
user82,2,6
user83,5,6
user84,6,9
user85,6,8
user86,2,10
user87,5,10
user88,3,5
user89,8,10
user90,2,3
user91,8,9
user92,1,7
user93,7,10
user94,6,9
user95,3,5
user96,2,9
user97,3,4
user98,4,7
user99,4,6
user100,1,3
user101,6,8
user102,7,9
user103,2,9
user104,4,5
user105,8,9
user106,7,9
user107,1,3
user108,5,8
user109,9,10
user110,2,6
user111,4,10
user112,5,8
user113,2,3
user114,1,5
user115,2,3
user116,8,10
user117,3,4
user118,7,8
user119,6,7
user120,1,2
user121,5,7
user122,1,9
user123,2,5
user124,2,10
user125,4,6
user126,6,7
user127,8,10
user128,1,7
user129,4,7
user130,5,8
user131,1,4
user132,4,6
user133,2,6
user134,3,7
user135,9,10
user136,6,8
user137,1,8
user138,2,3
user139,6,8
user140,4,7
user141,5,6
user142,5,7
user143,7,10
user144,9,10
user145,3,10
user146,8,10
user147,4,8
user148,2,6
user149,9,10
user150,3,10
user151,3,9
user152,8,9
user153,8,9
user154,5,7
user155,1,10
user156,2,10
user157,9,10
user158,2,8
user159,6,9
user160,9,10
user161,5,8
user162,2,7
user163,2,10
user164,8,9
user165,7,10
user166,7,9
user167,4,6
user168,2,6
user169,1,3
user170,2,6
user171,2,7
user172,2,7
user173,7,8
user174,9,10
user175,4,5
user176,1,5
user177,3,5
user178,2,7
user179,3,7
user180,5,9
user181,9,10
user182,6,10
user183,6,10
user184,4,10
user185,4,6
user186,2,4
user187,2,9
user188,5,6
user189,5,7
user190,5,8
user191,4,9
user192,2,10
user193,1,8
user194,6,9
user195,9,10
user196,8,10
user197,9,10
user198,6,7
user199,7,10
user200,1,5
user201,7,8
user202,1,10
user203,7,10
user204,7,10
user205,1,7
user206,2,4
user207,9,10
user208,3,5
user209,4,7
user210,4,8
user211,8,10
user212,8,10
user213,7,8
user214,8,10
user215,6,10
user216,4,6
user217,5,6
user218,4,10
user219,9,10
user220,3,5
user221,9,10
user222,9,10
user223,1,6
user224,2,4
user225,1,3
user226,6,9
user227,1,3
user228,9,10
user229,6,7
user230,3,6
user231,8,9
user232,7,9
user233,8,10
user234,3,8
user235,6,9
user236,4,8
user237,8,9
user238,5,6
user239,4,6
user240,7,9
user241,7,9
user242,3,5
user243,3,8
user244,6,10
user245,3,10
user246,7,9
user247,3,5
user248,6,10
user249,3,6
user250,9,10
user251,1,6
user252,9,10
user253,2,5
user254,3,9
user255,3,10
user256,6,8
user257,9,10
user258,9,10
user259,9,10
user260,7,10
user261,6,10
user262,7,9
user263,2,9
user264,5,6
user265,6,10
user266,4,7
user267,4,9
user268,4,8
user269,2,10
user270,7,8
user271,7,9
user272,1,3
user273,5,10
user274,8,9
user275,2,8
user276,3,10
user277,8,9
user278,2,4
user279,2,3
user280,1,6
user281,6,9
user282,9,10
user283,8,9
user284,5,6
user285,3,5
user286,6,10
user287,4,9
user288,8,9
user289,7,9
user290,3,9
user291,1,3
user292,7,8
user293,2,10
user294,6,10
user295,1,5
user296,5,6
user297,4,5
user298,8,10
user299,1,5
user300,4,9
user301,1,9
user302,2,7
user303,9,10
user304,2,5
user305,4,8
user306,2,8
user307,6,7
user308,2,4
user309,6,7
user310,9,10
user311,1,7
user312,5,8
user313,7,9
user314,1,8
user315,3,8
user316,8,9
user317,3,5
user318,1,10
user319,9,10
user320,3,5
user321,3,5
user322,1,2
user323,4,8
user324,1,10
user325,1,8
user326,3,5
user327,4,10
user328,3,5
user329,4,10
user330,7,10
user331,1,4
user332,1,10
user333,6,10
user334,3,5
user335,1,2
user336,5,9
user337,8,10
user338,5,7
user339,1,10
user340,6,8
user341,9,10
user342,8,10
user343,5,6
user344,1,6
user345,3,6
user346,2,8
user347,2,10
user348,9,10
user349,4,8
user350,6,10
user351,4,6
user352,5,9
user353,2,6
user354,3,9
user355,7,10
user356,7,8
user357,5,9
user358,6,7
user359,7,8
user360,1,9
user361,7,9
user362,8,9
user363,4,7
user364,6,10
user365,6,9
user366,3,9
user367,5,9
user368,6,9
user369,2,4
user370,2,5
user371,1,5
user372,8,10
user373,5,10
user374,9,10
user375,2,8
user376,7,8
user377,6,10
user378,9,10
user379,2,10
user380,3,5
user381,5,8
user382,6,7
user383,7,9
user384,9,10
user385,3,9
user386,6,10
user387,7,8
user388,3,4
user389,7,9
user390,4,6
user391,5,6
user392,2,8
user393,8,9
user394,2,9
user395,7,8
user396,2,3
user397,4,5
user398,6,8
user399,6,9
user400,4,7
user401,8,10
user402,6,9
user403,2,4
user404,2,9
user405,3,5
user406,4,10
user407,2,3
user408,6,8
user409,3,6
user410,5,8
user411,6,8
user412,3,7
user413,3,6
user414,6,8
user415,2,3
user416,6,9
user417,2,9
user418,6,8
user419,3,9
user420,4,5
user421,2,7
user422,3,6
user423,1,5
user424,8,10
user425,2,8
user426,5,6
user427,8,9
user428,6,9
user429,1,2
user430,6,9
user431,2,7
user432,2,7
user433,9,10
user434,8,9
user435,6,9
user436,6,9
user437,2,4
user438,9,10
user439,1,9
user440,9,10
user441,1,10
user442,7,8
user443,3,7
user444,4,8
user445,9,10
user446,1,8
user447,5,9
user448,8,10
user449,6,7
user450,9,10
user451,2,8
user452,4,6
user453,8,10
user454,9,10
user455,8,9
user456,2,9
user457,3,10
user458,8,10
user459,7,10
user460,6,7
user461,6,9
user462,9,10
user463,8,9
user464,2,8
user465,4,8
user466,6,10
user467,8,10
user468,7,9
user469,9,10
user470,1,8
user471,9,10
user472,6,10
user473,7,9
user474,6,8
user475,3,10
user476,9,10
user477,3,8
user478,5,9
user479,3,4
user480,8,10
user481,5,8
user482,3,10
user483,4,7
user484,7,9
user485,9,10
user486,7,8
user487,5,10
user488,4,6
user489,2,10
user490,9,10
user491,2,10
user492,5,9
user493,5,6
user494,1,8
user495,3,4
user496,7,8
user497,2,5
user498,6,9
user499,1,2
user500,5,9
user501,2,5
user502,5,6
user503,7,9
user504,3,6
user505,1,7
user506,7,10
user507,1,9
user508,7,10
user509,6,8
user510,2,9
user511,9,10
user512,7,9
user513,8,9
user514,4,10
user515,3,7
user516,3,7
user517,7,10
user518,6,7
user519,3,7
user520,7,10
user521,1,4
user522,3,5
user523,7,8
user524,3,6
user525,4,10
user526,5,9
user527,5,6
user528,6,7
user529,8,10
user530,3,7
user531,8,9
user532,5,8
user533,3,7
user534,6,8
user535,5,7
user536,1,7
user537,8,9
user538,9,10
user539,6,8
user540,3,6
user541,6,7
user542,4,9
user543,2,6
user544,7,10
user545,9,10
user546,9,10
user547,9,10
user548,6,7
user549,6,10
user550,4,9
user551,5,10
user552,1,9
user553,2,10
user554,1,9
user555,4,9
user556,6,7
user557,9,10
user558,1,2
user559,4,5
user560,6,9
user561,2,6
user562,2,8
user563,9,10
user564,6,10
user565,2,9
user566,7,8
user567,1,7
user568,9,10
user569,6,10
user570,6,9
user571,1,9
user572,4,8
user573,7,10
user574,8,9
user575,9,10
user576,8,10
user577,3,4
user578,3,5
user579,5,7
user580,9,10
user581,2,9
user582,5,10
user583,2,10
user584,1,7
user585,5,9
user586,1,3
user587,2,9
user588,8,9
user589,8,9
user590,3,10
user591,2,5
user592,5,8
user593,4,7
user594,8,9
user595,2,7
user596,3,9
user597,3,8
user598,1,4
user599,9,10
user600,1,10
user601,2,6
user602,7,10
user603,1,7
user604,6,9
user605,2,5
user606,1,7
user607,6,7
user608,1,9
user609,2,9
user610,7,8
user611,4,7
user612,7,8
user613,6,8
user614,5,9
user615,1,7
user616,5,8
user617,6,10
user618,2,8
user619,9,10
user620,7,9
user621,9,10
user622,5,8
user623,6,10
user624,3,9
user625,9,10
user626,7,9
user627,4,6
user628,1,5
user629,8,10
user630,6,7
user631,7,10
user632,7,9
user633,9,10
user634,3,7
user635,3,5
user636,4,7
user637,8,10
user638,8,10
user639,3,4
user640,7,9
user641,3,8
user642,4,7
user643,4,5
user644,3,5
user645,9,10
user646,3,5
user647,7,10
user648,4,6
user649,6,9
user650,9,10
user651,2,9
user652,7,9
user653,1,5
user654,8,9
user655,5,7
user656,2,4
user657,4,6
user658,8,9
user659,1,10
user660,2,8
user661,2,6
user662,6,10
user663,3,6
user664,5,9
user665,2,5
user666,8,10
user667,1,5
user668,7,8
user669,8,10
user670,1,9
user671,5,10
user672,2,9
user673,6,10
user674,7,9
user675,8,9
user676,7,8
user677,7,8
user678,1,5
user679,1,3
user680,5,10
user681,7,8
user682,3,7
user683,6,9
user684,4,9
user685,8,10
user686,4,5
user687,1,8
user688,2,9
user689,9,10
user690,9,10
user691,2,9
user692,3,6
user693,9,10
user694,5,7
user695,9,10
user696,8,10
user697,6,7
user698,5,9
user699,2,10
user700,4,8
user701,8,9
user702,9,10
user703,1,10
user704,8,9
user705,2,6
user706,5,6
user707,5,6
user708,1,4
user709,9,10
user710,1,5
user711,4,5
user712,8,10
user713,6,10
user714,8,10
user715,3,9
user716,1,9
user717,3,4
user718,2,4
user719,3,9
user720,5,7
user721,6,9
user722,2,8
user723,5,6
user724,4,5
user725,6,9
user726,7,8
user727,4,9
user728,9,10
user729,7,8
user730,8,9
user731,7,9
user732,3,8
user733,7,8
user734,1,9
user735,2,7
user736,9,10
user737,1,10
